Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water
Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water
Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water
Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water
Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water
Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Water,Water,Water,Water,Water,Water,Water
Water,Water,Water,Water,Water,Grass,Grass,Water,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Water,Water,Water,Water,Water,Water,Water
Water,Water,Water,Water,Water,Grass,Grass,Water,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Mountain,Mountain,Mountain,Mountain,Grass,Grass,Water,Water,Water,Water,Water,Water,Water
Water,Water,Water,Water,Water,Grass,Grass,Water,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Mountain,Mountain,Mountain,Mountain,Grass,Grass,Water,Water,Water,Water,Water,Water,Water
Water,Water,Water,Water,Water,Grass,Grass,Water,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Mountain,Mountain,Mountain,Mountain,Grass,Grass,Water,Water,Water,Water,Water,Water,Water
Water,Water,Water,Water,Water,Grass,Grass,Water,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Mountain,Mountain,Mountain,Mountain,Grass,Grass,Water,Water,Water,Water,Water,Water,Water
Water,Water,Water,Water,Water,Grass,Grass,Water,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Water,Water,Water,Water,Water,Water,Water
Water,Water,Water,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Water,Water,Water,Water,Water,Water,Water
Water,Water,Water,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Mountain,Mountain,Grass,Grass,Grass,Water,Water,Water,Water,Water,Water,Water
Water,Water,Water,Water,Water,Water,Water,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Mountain,Mountain,Mountain,Grass,Water,Water,Water,Water,Water,Water,Water
Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Mountain,Mountain,Water,Water,Water,Water,Water,Water,Water
Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Water,Water,Water,Water,Water,Water,Water
Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water
Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water
